ID,Date,Time,Main Street,Main Street 2,Municipality,Intersection,Motorcycle,Age,Gender,Mobility Scooter,Pedestrian,Single Vehicle,Night,Cyclist
2025_49725,2/12/2025,21:56,Sugarforest Drive,NA,Vaughan,N,N,Youth,N,N,N,N,N,N
2025_53858,2/17/2025,14:58,Reesor Road,NA,Markham,N,N,78,Male,N,Y,N,N,N
2025_123955,4/18/2025,11:06,Dufferin Street,Major MacKenzie Dr W,Vaughan,Y,N,68,Female,N,Y,N,N,N
2025_132946,4/26/2025,1:28,Highway 7,Martin Grove Road,Vaughan,Y,N,76,Male,N,Y,N,N,N
2025_133978,4/26/2025,22:56,Jane Street,Kirby Road,Vaughan,Y,NA,NA,NA,NA,NA,NA,NA,NA
2025_153762,5/13/2025,15:43,10th Concession Road,King Road,King,Y,Y,25,Male,N,N,N,N,N
2025_160689,5/19/2025,16:05,Highway 27,King Vaughan Road,Vaughan,Y,NA,NA,NA,NA,NA,NA,NA,NA
2025_166451,5/24/2025,2:39,Howard Avenue,NA,East Gwillimbury,N,N,23,Male,N,N,Y,Y,N
2025_184610,6/7/2025,12:56,Jane Street,Ahmadiyya Avenue,Vaughan,Y,Y,Adult,Male,N,N,N,N,N
2025_185865,6/8/2025,14:15,Jane Street,NA,King,N,N,Adult,Male,N,N,N,N,N
2025_207570,6/25/2025,10:01,Davis Drive West,Dufferin Street,King,Y,N,56,Male,N,N,N,N,N
2025_212206,6/28/2025,22:21,Weston Road,NA,Vaughan,N,N,48,Male,N,N,Y,N,N
2025_241107,7/21/2025,8:02,Markham Road,Elson Street,Markham,Y,N,69,Female,N,Y,N,N,N
2025_257569,8/2/2025,22:57,Highway 27,Rutherford Road,Vaughan,Y,N,69,Female,N,N,N,N,N
,8/4/2025,21:20,Highway 48,NA,Whitchurch-Stouffville,N,N,35,Male,N,N,N,N,N
2025_270947,8/13/2025,17:50,Woodbine Avenue,Ravenshoe Road,East Gwillimbury,Y,N,57,Male,N,Y,N,N,N
2025_299136,9/7/2025,0:49,Highway 11,NA,East Gwillimbury,N,N,55,Male,N,N,N,Y,Y
2025_318206,9/23/2025,18:05,Reesor Road,Major MacKenzie Dr E,Markham,Y,Y,19,Male,N,N,N,N,N
